Text,Location
Pelourinho,"Bahai, Brazil"
Mucuge Street,"Bahai, Brazil"
Sao Francisco Church and Convent,"Bahai, Brazil"
Ilha dos Frades,"Bahai, Brazil"
Praia do Espelho,"Bahai, Brazil"
Forte Beach,"Bahai, Brazil"
Projeto Tamar,"Bahai, Brazil"
Quarta Praia,"Bahai, Brazil"
Basílica Do Senhor Do Bonfim,"Bahai, Brazil"
Pitinga Beach,"Bahai, Brazil"
Eco Parque Arraial d'Ajuda,"Bahai, Brazil"
Quadrado,"Bahai, Brazil"
Passarela do Descobrimento,"Bahai, Brazil"
Praia Farol da Barra,"Bahai, Brazil"
Coroa Vermelha Beach,"Bahai, Brazil"
Chapada Diamantina National Park,"Bahai, Brazil"
Cachoeira do Buracao,"Bahai, Brazil"
Taipus de Fora Beach,"Bahai, Brazil"
Itacarezinho Beach,"Bahai, Brazil"
Segunda Praia,"Bahai, Brazil"
Centro Historico,"Bahai, Brazil"
Praia de Taipe,"Bahai, Brazil"
Praia do Porto da Barra,"Bahai, Brazil"
Recife de Fora,"Bahai, Brazil"
Jeribucacu Beach,"Bahai, Brazil"
Igreja Matriz Nossa Senhora D'Ajuda,"Bahai, Brazil"
Taperapua Beach,"Bahai, Brazil"
Casa do Rio Vermelho,"Bahai, Brazil"
Gamboa Beach,"Bahai, Brazil"
Guarajuba Beach,"Bahai, Brazil"
Farol do Morro,"Bahai, Brazil"
Ponta de Castelhanos,"Bahai, Brazil"
Praia de Santo Antonio,"Bahai, Brazil"
Praia da Tiririca,"Bahai, Brazil"
Centro Cultural Bataclan,"Bahai, Brazil"
Igreja Sao Francisco De Assis,"Bahai, Brazil"
Praia de Santo Andre,"Bahai, Brazil"
Cachoeira da Fumacinha,"Bahai, Brazil"
Santo Andre Beach,"Bahai, Brazil"
Cueira Beach,"Bahai, Brazil"
Cathedral Basilica of Salvador,"Bahai, Brazil"
Parque Nacional Marinho dos Abrolhos,"Bahai, Brazil"
Apaga-Fogo Beach,"Bahai, Brazil"
Praca Caminho do Mar,"Bahai, Brazil"
Sister Dulce memorial,"Bahai, Brazil"
Mundai Beach,"Bahai, Brazil"
Algodoes Beach,"Bahai, Brazil"
Primeira Praia,"Bahai, Brazil"
Praia de Itapua,"Bahai, Brazil"
Poco Azul,"Bahai, Brazil"
Misericordia Museum,"Bahai, Brazil"
Palacete Das Artes Rodin Bahia,"Bahai, Brazil"
Teatro Castro Alves,"Bahai, Brazil"
Igreja da Ordem Terceira de São Francisco,"Bahai, Brazil"
Igreja Da Nossa Senhora Da Luz,"Bahai, Brazil"
Itapua Beach,"Bahai, Brazil"
Sao Jose Beach,"Bahai, Brazil"
Japara Grande Beach,"Bahai, Brazil"
Guaiu Beach,"Bahai, Brazil"
Costa Dourada Beach,"Bahai, Brazil"
Fazenda Capela Velha,"Bahai, Brazil"
Gruta da Pratinha,"Bahai, Brazil"
Centro de Visitantes Espaço Baleia Jubarte,"Bahai, Brazil"
Cassi Turismo,"Bahai, Brazil"
Forte de Santa Maria,"Bahai, Brazil"
Historic City,"Bahai, Brazil"
Chapada Passeios trekking,"Bahai, Brazil"
Cachoeira das Orquideas,"Bahai, Brazil"
Conceicao Dos Gatos,"Bahai, Brazil"
Bale Folclorico da Bahia,"Bahai, Brazil"
Catedral Nossa Senhora das Vitórias,"Bahai, Brazil"
Igreja Matriz de Sao Miguel Arcanjo,"Bahai, Brazil"
Praca do Coreto,"Bahai, Brazil"
Raízes De Garapuá,"Bahai, Brazil"
Praia Porto De Cima,"Bahai, Brazil"
Toca do Morcego - SUNSET,"Bahai, Brazil"
Cachoeira da Purificacao,"Bahai, Brazil"
Canabrava Beach,"Bahai, Brazil"
Museu Historico de Mucuge,"Bahai, Brazil"
Praca Santo Antonio,"Bahai, Brazil"
Convento de Santo Antônio,"Bahai, Brazil"
MS Tour,"Bahai, Brazil"
Vila Nova da Praia,"Bahai, Brazil"
Mirante Praia da Concha,"Bahai, Brazil"
BAHIA TRASLADO,"Bahai, Brazil"
Eudes Taxi Arraial d'Ajuda,"Bahai, Brazil"
Chiaretti Transportes,"Bahai, Brazil"
