Text,Location
Victoria Peak (The Peak),"Hong Kong, China"
Star Ferry,"Hong Kong, China"
Tian Tan Buddha (Big Buddha),"Hong Kong, China"
Hong Kong Disneyland,"Hong Kong, China"
Hong Kong Skyline,"Hong Kong, China"
Nan Lian Garden,"Hong Kong, China"
Hong Kong Tramways (Ding Ding),"Hong Kong, China"
Victoria Harbour,"Hong Kong, China"
Ngong Ping 360,"Hong Kong, China"
Ocean Park,"Hong Kong, China"
Lantau island,"Hong Kong, China"
Chi Lin Nunnery,"Hong Kong, China"
Happy Valley Racecourse,"Hong Kong, China"
Dragon's Back,"Hong Kong, China"
Sky100 Hong Kong Observation Deck,"Hong Kong, China"
Mongkok,"Hong Kong, China"
Hong Kong Park,"Hong Kong, China"
Tsim Sha Tsui,"Hong Kong, China"
Peak Tram,"Hong Kong, China"
Hong Kong Museum of History,"Hong Kong, China"
Tsim Sha Tsui Promenade,"Hong Kong, China"
Ten Thousand Buddhas Monastery (Man Fat Sze),"Hong Kong, China"
Po Lin (Precious Lotus) Monastery,"Hong Kong, China"
Tai O,"Hong Kong, China"
MTR,"Hong Kong, China"
Sheung Yiu Folk Museum,"Hong Kong, China"
Kowloon Park,"Hong Kong, China"
Cheung Chau Island,"Hong Kong, China"
Sik Sik Yuen Wong Tai Sin Temple,"Hong Kong, China"
Lamma Island,"Hong Kong, China"
Madame Tussauds Hong Kong,"Hong Kong, China"
Hong Kong Macau Ferry Terminal,"Hong Kong, China"
Hong Kong Museum of Art,"Hong Kong, China"
IFC mall,"Hong Kong, China"
Peak Tower,"Hong Kong, China"
1881 Heritage,"Hong Kong, China"
Lantau Trail,"Hong Kong, China"
MacLehose Trail,"Hong Kong, China"
TurboJet,"Hong Kong, China"
Bobby's Fashions Hong Kong Bespoke Tailors,"Hong Kong, China"
Sai kung East Country Park,"Hong Kong, China"
Lion's Pavilion at The Peak,"Hong Kong, China"
Langham Place,"Hong Kong, China"
PMQ,"Hong Kong, China"
Kowloon City,"Hong Kong, China"
Citygate Outlets,"Hong Kong, China"
Discovery Bay,"Hong Kong, China"
Elements (Mall),"Hong Kong, China"
Flower Market Road,"Hong Kong, China"
Pacific Place,"Hong Kong, China"
Cotai Water Jet,"Hong Kong, China"
Tsuen Wan,"Hong Kong, China"
Hong Kong Wetland Park,"Hong Kong, China"
Lion Rock Country Park,"Hong Kong, China"
St. John's Cathedral,"Hong Kong, China"
Airport Express,"Hong Kong, China"
Mid-levels Escalator,"Hong Kong, China"
Former Kowloon-Canton Railway Clock Tower,"Hong Kong, China"
Hong Kong Observation Wheel,"Hong Kong, China"
Sheung Wan,"Hong Kong, China"
Hysan Place,"Hong Kong, China"
Central Plaza,"Hong Kong, China"
"Peng Chau Island (Ping Chau, Pingzhou)","Hong Kong, China"
Lei Yu Mun Fish Market,"Hong Kong, China"
Lantau South Country Park,"Hong Kong, China"
Hong Kong UNESCO Global Geopark,"Hong Kong, China"
Central Hiking Lamma Trail,"Hong Kong, China"
Kowloon Mosque & Islamic Centre,"Hong Kong, China"
Shatin,"Hong Kong, China"
Yaumatei,"Hong Kong, China"
New Town Plaza,"Hong Kong, China"
Aberdeen,"Hong Kong, China"
HSBC Main Building,"Hong Kong, China"
Tai Long Wan,"Hong Kong, China"
Festival Walk,"Hong Kong, China"
Old Peak Road,"Hong Kong, China"
香港Apm,"Hong Kong, China"
North Point,"Hong Kong, China"
Hong Kong Railway Museum,"Hong Kong, China"
Golden Computer Arcade,"Hong Kong, China"
Sino Center,"Hong Kong, China"
East Dam of High Island Reservoir,"Hong Kong, China"
The Whampoa,"Hong Kong, China"
Hong Kong Heritage Discovery Centre,"Hong Kong, China"
Ma On Shan Promenade,"Hong Kong, China"
Sam Tung Uk Museum,"Hong Kong, China"
Sandbox VR,"Hong Kong, China"
Trick Eye Museum Hong Kong,"Hong Kong, China"
Moko,"Hong Kong, China"
iSQUARE,"Hong Kong, China"
The Cheung Chau Bun Festival,"Hong Kong, China"
Rosary Church,"Hong Kong, China"
Olympian City,"Hong Kong, China"
M+ Museum,"Hong Kong, China"
Wilson Trail,"Hong Kong, China"
Tai Po Street,"Hong Kong, China"
Hong Kong Palace Museum,"Hong Kong, China"
Quarry Bay Park,"Hong Kong, China"
Sha Tin Park,"Hong Kong, China"
Asia Society Hong Kong Center,"Hong Kong, China"
Ping Shan Heritage Trail,"Hong Kong, China"
Ap liu Street Market,"Hong Kong, China"
Admiralty,"Hong Kong, China"
