Text,Location
Hobbiton Movie Set,"New Zealand, Pacific Ocean"
Museum of New Zealand Te Papa Tongarewa,"New Zealand, Pacific Ocean"
Hamilton Gardens,"New Zealand, Pacific Ocean"
Doubtful Sound,"New Zealand, Pacific Ocean"
Sculptureum,"New Zealand, Pacific Ocean"
Tongariro Alpine Crossing,"New Zealand, Pacific Ocean"
Skyline Queenstown,"New Zealand, Pacific Ocean"
Mount Maunganui Summit Track,"New Zealand, Pacific Ocean"
Pukekura Park,"New Zealand, Pacific Ocean"
Tiritiri Matangi Island,"New Zealand, Pacific Ocean"
Hokitika Gorge Walk,"New Zealand, Pacific Ocean"
Omaka Aviation Heritage Centre,"New Zealand, Pacific Ocean"
Waimarino Adventure Park,"New Zealand, Pacific Ocean"
Lake Wakatipu,"New Zealand, Pacific Ocean"
Otago Central Rail Trail,"New Zealand, Pacific Ocean"
Hooker Valley Track,"New Zealand, Pacific Ocean"
Highlands - Experience the Exceptional,"New Zealand, Pacific Ocean"
Routeburn Track,"New Zealand, Pacific Ocean"
Marlborough Sounds,"New Zealand, Pacific Ocean"
Margaret Mahy Family Playground,"New Zealand, Pacific Ocean"
Fiordland National Park (Te Wahipounamu),"New Zealand, Pacific Ocean"
The Old Ghost Road,"New Zealand, Pacific Ocean"
Aoraki/Mt. Cook,"New Zealand, Pacific Ocean"
Bill Richardson Transport World,"New Zealand, Pacific Ocean"
Volcanic Hills Winery,"New Zealand, Pacific Ocean"
Cardrona Distillery,"New Zealand, Pacific Ocean"
Tane Mahuta Walk,"New Zealand, Pacific Ocean"
Dig This Invercargill,"New Zealand, Pacific Ocean"
Caveworld,"New Zealand, Pacific Ocean"
Tawhiti Museum,"New Zealand, Pacific Ocean"
Ulva Island,"New Zealand, Pacific Ocean"
iFLY Indoor Skydiving Queenstown,"New Zealand, Pacific Ocean"
Weta Workshop,"New Zealand, Pacific Ocean"
Milford Track,"New Zealand, Pacific Ocean"
Mt Rosa Wines,"New Zealand, Pacific Ocean"
Of Hand & Heart,"New Zealand, Pacific Ocean"
Bream Head Coast Walks,"New Zealand, Pacific Ocean"
Awakeri Rail Adventures,"New Zealand, Pacific Ocean"
French Peak,"New Zealand, Pacific Ocean"
SkyScape,"New Zealand, Pacific Ocean"
Velocity Karts,"New Zealand, Pacific Ocean"
Timber Trail NZ,"New Zealand, Pacific Ocean"
Hundertwasser Art Centre with Wairau Māori Art Gallery,"New Zealand, Pacific Ocean"
Mount Manaia Track,"New Zealand, Pacific Ocean"
Wilderness Gallery,"New Zealand, Pacific Ocean"
Wharariki Beach Walking Track,"New Zealand, Pacific Ocean"
Tawharanui Regional Park,"New Zealand, Pacific Ocean"
Thundercross Valley Dirt Bike Park,"New Zealand, Pacific Ocean"
Quartz Museum of Studio Ceramics,"New Zealand, Pacific Ocean"
Framingham Wines,"New Zealand, Pacific Ocean"
Body Sanctum Day Spa,"New Zealand, Pacific Ocean"
West Coast Wilderness Trail,"New Zealand, Pacific Ocean"
Te Awamutu Space Centre,"New Zealand, Pacific Ocean"
Rotorua Canopy Tours,"New Zealand, Pacific Ocean"
Classic Motorcycle Mecca,"New Zealand, Pacific Ocean"
Roxburgh Gorge Trail,"New Zealand, Pacific Ocean"
The Dunedin Museum of Natural Mystery,"New Zealand, Pacific Ocean"
Indoor Curling Rink,"New Zealand, Pacific Ocean"
Hanmer Adventure Centre,"New Zealand, Pacific Ocean"
Milford sound Hwy,"New Zealand, Pacific Ocean"
Fox Glacier Guiding,"New Zealand, Pacific Ocean"
Shotover Canyon Swing,"New Zealand, Pacific Ocean"
Salt Cave Halotherapy & Wellness Centre,"New Zealand, Pacific Ocean"
Browns Ski Shop,"New Zealand, Pacific Ocean"
Appellation Wine Tours,"New Zealand, Pacific Ocean"
Wildwire Wanaka,"New Zealand, Pacific Ocean"
Remedial Massage Queenstown,"New Zealand, Pacific Ocean"
Waiho Hot Tubs,"New Zealand, Pacific Ocean"
Adventure Playground,"New Zealand, Pacific Ocean"
Skydive Auckland,"New Zealand, Pacific Ocean"
Wine Tours By Bike,"New Zealand, Pacific Ocean"
Snowman Shuttles,"New Zealand, Pacific Ocean"
Backyard Tours,"New Zealand, Pacific Ocean"
Chris Jolly Outdoors,"New Zealand, Pacific Ocean"
Pōhatu Penguin,"New Zealand, Pacific Ocean"
Glacier Southern Lakes Helicopters,"New Zealand, Pacific Ocean"
Down to Earth - Eco Cave Tours In Waitomo,"New Zealand, Pacific Ocean"
Tree Adventures,"New Zealand, Pacific Ocean"
Escape Artists,"New Zealand, Pacific Ocean"
GForce Paragliding,"New Zealand, Pacific Ocean"
Forgotten World Adventures,"New Zealand, Pacific Ocean"
Rotorua Duck Tours,"New Zealand, Pacific Ocean"
Kapiti Island Nature Tours,"New Zealand, Pacific Ocean"
Tiaho Mirimiri Massage Rotorua,"New Zealand, Pacific Ocean"
The Cardrona,"New Zealand, Pacific Ocean"
Auckland Free Walking Tours,"New Zealand, Pacific Ocean"
Hau Ora Clay Shoot,"New Zealand, Pacific Ocean"
Tongariro River Rafting,"New Zealand, Pacific Ocean"
River Rats Raft & Kayak,"New Zealand, Pacific Ocean"
Waiheke Island Wine Tours,"New Zealand, Pacific Ocean"
Abel Tasman Kayaks,"New Zealand, Pacific Ocean"
Queenstown Wine Trail,"New Zealand, Pacific Ocean"
Better By Bike,"New Zealand, Pacific Ocean"
Over The Top - The Helicopter Company,"New Zealand, Pacific Ocean"
MoaTrek,"New Zealand, Pacific Ocean"
Footprints Waipoua,"New Zealand, Pacific Ocean"
Taupo Sailing Adventures,"New Zealand, Pacific Ocean"
Mount Cook Ski Planes & Helicopters by Inflite,"New Zealand, Pacific Ocean"
V8 Trike Tours Tauranga,"New Zealand, Pacific Ocean"
Zozo Travel Limited,"New Zealand, Pacific Ocean"
Elm Wildlife Tours,"New Zealand, Pacific Ocean"
The Rock Adventure Cruise,"New Zealand, Pacific Ocean"
Enjoi NZ,"New Zealand, Pacific Ocean"
Grape Escape Wine Tours,"New Zealand, Pacific Ocean"
Totally Tarawera,"New Zealand, Pacific Ocean"
Lakeland Wanaka,"New Zealand, Pacific Ocean"
Paihia Dive,"New Zealand, Pacific Ocean"
Remarkable Scenic Tours,"New Zealand, Pacific Ocean"
Taupo Bungy & Swing,"New Zealand, Pacific Ocean"
Canyonz,"New Zealand, Pacific Ocean"
The Helicopter Line Queenstown,"New Zealand, Pacific Ocean"
Going Blue Ltd,"New Zealand, Pacific Ocean"
Seal Kayak Kaikoura,"New Zealand, Pacific Ocean"
Wanaka Paragliding,"New Zealand, Pacific Ocean"
