Text,Location
Tromso Fjords,"Norway, Europe"
Troldhaugen Edvard Grieg Museum,"Norway, Europe"
Norwegian Petroleum Museum,"Norway, Europe"
Dyreparken,"Norway, Europe"
Frogner Park,"Norway, Europe"
Bygdoy Peninsula,"Norway, Europe"
Svalbard Museum,"Norway, Europe"
The Arctic Cathedral,"Norway, Europe"
Karl Johans gate,"Norway, Europe"
The Royal Palace,"Norway, Europe"
Hardangerfjord,"Norway, Europe"
Stegastein Lookout,"Norway, Europe"
Olden,"Norway, Europe"
Aker Brygge,"Norway, Europe"
Hunderfossen Eventyrpark,"Norway, Europe"
Loen Skylift,"Norway, Europe"
Norges Hjemmefrontmuseum,"Norway, Europe"
Swords in Rock,"Norway, Europe"
Maihaugen Open-Air Museum,"Norway, Europe"
Nobel Peace Center,"Norway, Europe"
Lofoten Krigsminne Museum,"Norway, Europe"
Botanical Gardens (Botanisk Hage og Museum),"Norway, Europe"
Kjerag,"Norway, Europe"
Atlantic Sea Park,"Norway, Europe"
Bergen Tourist Information,"Norway, Europe"
KODE Art Museums of Bergen,"Norway, Europe"
Seven Sisters,"Norway, Europe"
Alta Museum - World Heritage Rock Art Centre,"Norway, Europe"
Lofoten Island,"Norway, Europe"
Astrup Fearnley Museet,"Norway, Europe"
Green Dog Svalbard,"Norway, Europe"
Fjord Tours,"Norway, Europe"
Kingdom of Escape Rooms,"Norway, Europe"
Schouskjelleren,"Norway, Europe"
Arctic Adventure Tours,"Norway, Europe"
Poli Arctici,"Norway, Europe"
Tromso Arctic Reindeer,"Norway, Europe"
Tromsø Wilderness Centre,"Norway, Europe"
Det Lille Kaffekompaniet,"Norway, Europe"
Mysteriehus,"Norway, Europe"
Svalbard Buss og Taxi,"Norway, Europe"
The Green Adventure,"Norway, Europe"
Norway Excursions,"Norway, Europe"
Glowing Golf,"Norway, Europe"
Viking Biking & Viking Hiking,"Norway, Europe"
Real Escape Game,"Norway, Europe"
Fagernes Flytebad,"Norway, Europe"
Karlsberger Pub,"Norway, Europe"
Better Moments,"Norway, Europe"
Bergen Segway,"Norway, Europe"
Lofoten Explorer,"Norway, Europe"
Pukka Travels,"Norway, Europe"
Hurtigruten Svalbard,"Norway, Europe"
Heit Bergen Sauna,"Norway, Europe"
Arctic Experience Tromso,"Norway, Europe"
Creative Vacations,"Norway, Europe"
Juhls Silver Gallery,"Norway, Europe"
Perfect Escape Lillehammer,"Norway, Europe"
Enjoy the Arctic,"Norway, Europe"
Geiranger Sjokolade,"Norway, Europe"
XXLofoten,"Norway, Europe"
Svalbard Adventures,"Norway, Europe"
Arctic Cruise In Norway AS - Day Tours,"Norway, Europe"
Viking Adventure,"Norway, Europe"
Svalbard Husky,"Norway, Europe"
Opplev Oppdal,"Norway, Europe"
Adventure Tours Norway,"Norway, Europe"
Lofoten Lights,"Norway, Europe"
The Aurora Tour - Day Tours,"Norway, Europe"
Fjord Active,"Norway, Europe"
Spitzbergen Adventures,"Norway, Europe"
Skydive Voss,"Norway, Europe"
Arctic Guide Service,"Norway, Europe"
Rødne Fjord Cruise,"Norway, Europe"
Fjordrive AS,"Norway, Europe"
Norway Mountain Guides,"Norway, Europe"
Tromso Lapland,"Norway, Europe"
Holmen Husky - Dog Sledding Tours,"Norway, Europe"
Arctic Adventures,"Norway, Europe"
Northern Explorer,"Norway, Europe"
Aqua Lofoten Coast Adventure,"Norway, Europe"
Amazing Arctic Tours,"Norway, Europe"
GLØD Explorer,"Norway, Europe"
HMK Sightseeing Tours,"Norway, Europe"
Beitostølen Aktiv & Skiskole,"Norway, Europe"
Dagali Fjellpark,"Norway, Europe"
SUP Norway,"Norway, Europe"
Norway AdvenTURes,"Norway, Europe"
Whalesafari Andenes,"Norway, Europe"
OffTrack Experience,"Norway, Europe"
Skadi Adventures AS,"Norway, Europe"
Segway Tours,"Norway, Europe"
eMobility Geiranger,"Norway, Europe"
Authentic Scandinavia,"Norway, Europe"
Polar Dream Travel,"Norway, Europe"
Balestrand Fjord Adventures,"Norway, Europe"
RIB Geiranger,"Norway, Europe"
Geiranger Fjordservice AS,"Norway, Europe"
World Sea Explorers,"Norway, Europe"
Tromso Flexitour,"Norway, Europe"
Raftingsenteret Serious Fun,"Norway, Europe"
Brim Explorer,"Norway, Europe"
Active Tromsø,"Norway, Europe"
Barents Safari Tours,"Norway, Europe"
Arctic Trip,"Norway, Europe"
Trolltunga Active,"Norway, Europe"
Arctic Breeze,"Norway, Europe"
Martins Bergen Tours,"Norway, Europe"
Kvaløya Husky,"Norway, Europe"
Booking Kirkenes,"Norway, Europe"
Reine Paddling,"Norway, Europe"
Stavanger RIB,"Norway, Europe"
Jandis Tour Operator,"Norway, Europe"
Brim Explorer Oslo,"Norway, Europe"
Nordland Turselskap,"Norway, Europe"
Norway Yacht Charter AS,"Norway, Europe"
GuideGunnar,"Norway, Europe"
AnglerPilot,"Norway, Europe"
Trondheim Kajakk,"Norway, Europe"
Romsdalsstigen Via Ferrata,"Norway, Europe"
Trasti & Trine AS,"Norway, Europe"
Heidal Rafting,"Norway, Europe"
Husky Safari by Snowhotel Kirkenes,"Norway, Europe"
Explore 70 Degrees,"Norway, Europe"
Adventure Norway,"Norway, Europe"
Puffin Safari,"Norway, Europe"
The Northern Lights Hunter,"Norway, Europe"
Explore the Arctic,"Norway, Europe"
Arctic Whale Tours,"Norway, Europe"
Northern Yachting,"Norway, Europe"
Vulkana,"Norway, Europe"
Free Walking Tour Bergen - Twentytour,"Norway, Europe"
Bergen Base Camp Day Tours,"Norway, Europe"
Uteguiden Valldal,"Norway, Europe"
Oslo Guidebureau,"Norway, Europe"
Beito Husky Tours Day Tours,"Norway, Europe"
Fiordos Noruegos,"Norway, Europe"
Trondheim for You - Guided Tours,"Norway, Europe"
Flam Adventures in Western Norway,"Norway, Europe"
Northern Norway Travel,"Norway, Europe"
Arctic Photo Guide,"Norway, Europe"
Hermes II,"Norway, Europe"
When in Norway - go Oslo Hiking 🌲,"Norway, Europe"
Fjord Cruise Naeroyfjord,"Norway, Europe"
OsloWay,"Norway, Europe"
NLT Guide Company.,"Norway, Europe"
Olden Adventure,"Norway, Europe"
Nordic Paddling,"Norway, Europe"
Norway Fjord Travel,"Norway, Europe"
Scan Adventure,"Norway, Europe"
Haukeli Husky,"Norway, Europe"
Polar Charter,"Norway, Europe"
Uteguiden,"Norway, Europe"
Batservice Sightseeing,"Norway, Europe"
Lofoten Diving,"Norway, Europe"
Noruega Tours,"Norway, Europe"
Guided Fjord Tours - Bergen,"Norway, Europe"
Soroya Havfiskecruise – Day Tours,"Norway, Europe"
See the Fjords - Private fjord cruise,"Norway, Europe"
Senja Experience,"Norway, Europe"
Jostedalen Breforarlag Day Tours,"Norway, Europe"
Flatmoen Natur,"Norway, Europe"
Pegasus Helicopter,"Norway, Europe"
Tromsø Budget Tours,"Norway, Europe"
FjordSeal Kayak Day Tour,"Norway, Europe"
Arctic Expedition,"Norway, Europe"
Go Rafting Sjoa,"Norway, Europe"
RiverNorth AS,"Norway, Europe"
Day Out Narvik,"Norway, Europe"
Trollfjord Cruise,"Norway, Europe"
LocalTrips AS,"Norway, Europe"
Hardanger Fjordsafari,"Norway, Europe"
Jolly Good Times Sailing,"Norway, Europe"
AlternativOslo,"Norway, Europe"
Sjoa Rafting AS,"Norway, Europe"
Oslo Photo Tour,"Norway, Europe"
Northern Light Dog Adventure,"Norway, Europe"
Private Cruise,"Norway, Europe"
Hardangerfjord Adventure,"Norway, Europe"
GuideCompaniet,"Norway, Europe"
Bamse statue,"Norway, Europe"
Tangen Fort,"Norway, Europe"
Gorsa Bridge,"Norway, Europe"
KaviarFactory,"Norway, Europe"
Sami Siida,"Norway, Europe"
Balestrand Tourist Information,"Norway, Europe"
Hiroshima Stone,"Norway, Europe"
Mountain Hike to Musvannet,"Norway, Europe"
Galleri Uver,"Norway, Europe"
Geirangerfjord,"Norway, Europe"
Hafjell Alpinsenter,"Norway, Europe"
Vikersund Ski Jumping Center,"Norway, Europe"
Bodin Church,"Norway, Europe"
Alti Vinterbro,"Norway, Europe"
Haereid Iron Age Burial Site,"Norway, Europe"
Sysenvatnet,"Norway, Europe"
Kongeparken,"Norway, Europe"
Boe Sommarland,"Norway, Europe"
Bergen Aquarium,"Norway, Europe"
Torget,"Norway, Europe"
Innerdalen Valley,"Norway, Europe"
Paseo por la calle,"Norway, Europe"
viewpoint SNØHETTA,"Norway, Europe"
Runde Fuglereservat,"Norway, Europe"
Sognefjord Akvarium,"Norway, Europe"
Hurtigrutemuseet,"Norway, Europe"
Stalheimsfossen,"Norway, Europe"
Antik & Bruktmarked - Kadettangen,"Norway, Europe"
Brutt Lenke,"Norway, Europe"
Sørum Fritidsgard,"Norway, Europe"
Vitensenteret i Trondheim,"Norway, Europe"
Aurskog Church,"Norway, Europe"
The Ibsen Museum,"Norway, Europe"
Tromsobadet,"Norway, Europe"
Gronligrotta Cave,"Norway, Europe"
Tyssedal and Skjeggedal Valley,"Norway, Europe"
Kavi Fak Ori,"Norway, Europe"
Valldal Tourist Information,"Norway, Europe"
Galleri Nord,"Norway, Europe"
Kabelvag Church,"Norway, Europe"
Nesaksla,"Norway, Europe"
Solvberget Bibliotek Og Kulturhus,"Norway, Europe"
Isegran,"Norway, Europe"
Krossobanen,"Norway, Europe"
Hornelen,"Norway, Europe"
The Monk Steps,"Norway, Europe"
Folkeparken,"Norway, Europe"
Klippfiskkjerringa,"Norway, Europe"
The Kassen Canal,"Norway, Europe"
Voss Tourist Information,"Norway, Europe"
Bergenhus Fortress,"Norway, Europe"
Local Historical Centre,"Norway, Europe"
Helvete,"Norway, Europe"
Nansen Park,"Norway, Europe"
Pyramidehuset Art Gallery - Birte Lohne,"Norway, Europe"
Sunnfjord Museum,"Norway, Europe"
Church of Bardu,"Norway, Europe"
Rogaland Arboretum,"Norway, Europe"
Oppgangssaga,"Norway, Europe"
Tromso Defence Museum,"Norway, Europe"
Kikuttoppen,"Norway, Europe"
De Samiske Samlinger - The Sámi museum in Karasjok,"Norway, Europe"
Bastø Fosen Ferries,"Norway, Europe"
Godalen Badeplass,"Norway, Europe"
The Urnes Ferry,"Norway, Europe"
Hagasen Kystbatteri,"Norway, Europe"
Kaupanger Stave Church,"Norway, Europe"
Fredriksholm Festning,"Norway, Europe"
FONNA Glacier Ski Resort,"Norway, Europe"
Vegatrappa,"Norway, Europe"
Skjervsfossen Waterfall,"Norway, Europe"
Fiskerimuseet,"Norway, Europe"
Ringebu Stave Church,"Norway, Europe"
Lulle Valley,"Norway, Europe"
Høyt og lavt Trysil,"Norway, Europe"
Bodalsbreen,"Norway, Europe"
Gokartbanen Evje,"Norway, Europe"
Skjolden Tourist Information,"Norway, Europe"
Gol Bygdemuseum,"Norway, Europe"
Guild Hall Oset Hoyfjellshotell,"Norway, Europe"
Bubbelen,"Norway, Europe"
Struve Geodetic Arc,"Norway, Europe"
Naes Ironworks Museum,"Norway, Europe"
