Text,Location
Forte Duque de Caxias,"Rio de Janeiro, Brazil"
Museu Historico Nacional,"Rio de Janeiro, Brazil"
Recreio dos Bandeirantes Beach,"Rio de Janeiro, Brazil"
Praia Da Joatinga,"Rio de Janeiro, Brazil"
Vista Chinesa,"Rio de Janeiro, Brazil"
The Metropolitan Cathedral of Saint Sebastian,"Rio de Janeiro, Brazil"
Centro Cultural Municipal Parque das Ruínas,"Rio de Janeiro, Brazil"
Santa Teresa,"Rio de Janeiro, Brazil"
Shopping Village Mall,"Rio de Janeiro, Brazil"
Forte de Copacabana,"Rio de Janeiro, Brazil"
Big Jump USA,"Rio de Janeiro, Brazil"
Sitio Roberto Burle Marx,"Rio de Janeiro, Brazil"
AquaRio,"Rio de Janeiro, Brazil"
Praia do Leme,"Rio de Janeiro, Brazil"
Rio Sul Shopping Center,"Rio de Janeiro, Brazil"
Ilha Fiscal,"Rio de Janeiro, Brazil"
Museu de Arte do Rio - MAR,"Rio de Janeiro, Brazil"
Mirante Do Leblon,"Rio de Janeiro, Brazil"
Pepe Beach,"Rio de Janeiro, Brazil"
Teatro Multiplan,"Rio de Janeiro, Brazil"
Instituto Moreira Salles - IMS Rio,"Rio de Janeiro, Brazil"
Boulevard Olimpico,"Rio de Janeiro, Brazil"
Church of Our Lady of the Candelária,"Rio de Janeiro, Brazil"
National Library (Biblioteca Nacional),"Rio de Janeiro, Brazil"
Sao Francisco da Penitencia Church,"Rio de Janeiro, Brazil"
Pedra do Telégrafo,"Rio de Janeiro, Brazil"
Pedra do Sal,"Rio de Janeiro, Brazil"
Bondinho de Santa Teresa,"Rio de Janeiro, Brazil"
Museu Nacional De Belas Artes,"Rio de Janeiro, Brazil"
Leme,"Rio de Janeiro, Brazil"
Vermelha Beach,"Rio de Janeiro, Brazil"
Parque Olímpico,"Rio de Janeiro, Brazil"
Mauá Square,"Rio de Janeiro, Brazil"
Sambódromo da Marquês de Sapucaí,"Rio de Janeiro, Brazil"
Aterro Do Flamengo,"Rio de Janeiro, Brazil"
Quinta da Boa Vista,"Rio de Janeiro, Brazil"
Carioca Aqueduct,"Rio de Janeiro, Brazil"
Feira Hippie de Ipanema,"Rio de Janeiro, Brazil"
Sao Francisco de Paula Church,"Rio de Janeiro, Brazil"
Mureta da Urca,"Rio de Janeiro, Brazil"
Espaco Cultural da Marinha,"Rio de Janeiro, Brazil"
Museu Aeroespacial,"Rio de Janeiro, Brazil"
Rocinha,"Rio de Janeiro, Brazil"
Trilha da Pedra da Gavea,"Rio de Janeiro, Brazil"
Palácio do Catete,"Rio de Janeiro, Brazil"
Parque Natural Municipal da Catacumba,"Rio de Janeiro, Brazil"
Feira de Sao Cristovao,"Rio de Janeiro, Brazil"
Macumba Beach,"Rio de Janeiro, Brazil"
Museu Chácara do Céu,"Rio de Janeiro, Brazil"
Basilica of Penha,"Rio de Janeiro, Brazil"
Rock in Rio,"Rio de Janeiro, Brazil"
Saara,"Rio de Janeiro, Brazil"
Perigoso Beach,"Rio de Janeiro, Brazil"
Convent of St. Anthony (Convento do Santo Antonio),"Rio de Janeiro, Brazil"
Church of Our Lady of the Glory of the Outeiro,"Rio de Janeiro, Brazil"
Abrico Beach,"Rio de Janeiro, Brazil"
Copacabana Reveillon,"Rio de Janeiro, Brazil"
Botafogo Praia Shopping,"Rio de Janeiro, Brazil"
Centro de Visitantes Paineiras,"Rio de Janeiro, Brazil"
Rio Antigo Fair,"Rio de Janeiro, Brazil"
Praca Sao Salvador,"Rio de Janeiro, Brazil"
Painel Etnias,"Rio de Janeiro, Brazil"
Paco Imperial,"Rio de Janeiro, Brazil"
Bosque da Barra,"Rio de Janeiro, Brazil"
Igreja Nossa Senhora do Carmo da Antiga Sé,"Rio de Janeiro, Brazil"
Pedra do Arpoador,"Rio de Janeiro, Brazil"
Jeunesse Arena,"Rio de Janeiro, Brazil"
Gilberto Cardoso Gymnasium Maracanazinho,"Rio de Janeiro, Brazil"
Praia do Flamengo,"Rio de Janeiro, Brazil"
Escape 60 - Barra Downtown,"Rio de Janeiro, Brazil"
Cervejaria Ambev,"Rio de Janeiro, Brazil"
Parque Estadual Library,"Rio de Janeiro, Brazil"
Parque Municipal do Penhasco Dois Irmãos,"Rio de Janeiro, Brazil"
Estátua Carlos Drummond de Andrade,"Rio de Janeiro, Brazil"
Arco do Teles,"Rio de Janeiro, Brazil"
Spa Holístico Alex Lisboa,"Rio de Janeiro, Brazil"
Botafogo Bay,"Rio de Janeiro, Brazil"
Partage Shopping São Gonçalo,"Rio de Janeiro, Brazil"
Casa Roberto Marinho,"Rio de Janeiro, Brazil"
Parque Municipal Quinta Da Boa Vista,"Rio de Janeiro, Brazil"
Naval and Oceanographic Museum,"Rio de Janeiro, Brazil"
Downtown RJ,"Rio de Janeiro, Brazil"
Imperator Centro Cultural João Nogueira,"Rio de Janeiro, Brazil"
Teatro Riachuelo,"Rio de Janeiro, Brazil"
Food Park Carioca,"Rio de Janeiro, Brazil"
Grande Templo Israelita do Rio de Janeiro,"Rio de Janeiro, Brazil"
Rio Poker Clube,"Rio de Janeiro, Brazil"
Rio Scenarium,"Rio de Janeiro, Brazil"
Cook In Rio,"Rio de Janeiro, Brazil"
Monumento Nacional aos Mortos da Segunda Guerra Mundial,"Rio de Janeiro, Brazil"
Theatro Net Rio,"Rio de Janeiro, Brazil"
Escape 60 - Via Parque,"Rio de Janeiro, Brazil"
Fundação Planetário da Cidade do Rio de Janeiro & Museu do Universo,"Rio de Janeiro, Brazil"
Urca Beach,"Rio de Janeiro, Brazil"
Riocentro Exhibition & Convention Center,"Rio de Janeiro, Brazil"
Estátua de Frédéric Chopin,"Rio de Janeiro, Brazil"
Barra Shopping,"Rio de Janeiro, Brazil"
Bossa Nova Mall,"Rio de Janeiro, Brazil"
Rio&Learn Portuguese School - Day Classes,"Rio de Janeiro, Brazil"
Sauna Rio G Spa,"Rio de Janeiro, Brazil"
Caminhos Language Centre,"Rio de Janeiro, Brazil"
Executivo Rio,"Rio de Janeiro, Brazil"
Gringa Airsoft Arena,"Rio de Janeiro, Brazil"
Metrô Rio,"Rio de Janeiro, Brazil"
Le Spa,"Rio de Janeiro, Brazil"
Carioca da Gema,"Rio de Janeiro, Brazil"
Shopping Leblon,"Rio de Janeiro, Brazil"
RJtransfer,"Rio de Janeiro, Brazil"
Passeio Rio,"Rio de Janeiro, Brazil"
Ginga Tropical,"Rio de Janeiro, Brazil"
I South America,"Rio de Janeiro, Brazil"
Correios  Cultural Centre,"Rio de Janeiro, Brazil"
Centro Cultural Justica Federal,"Rio de Janeiro, Brazil"
Cidade das Artes,"Rio de Janeiro, Brazil"
Private Car Service Rio,"Rio de Janeiro, Brazil"
Brazilian Black Belt,"Rio de Janeiro, Brazil"
Única Mão Búzios - Massagens,"Rio de Janeiro, Brazil"
Vans do Corcovado,"Rio de Janeiro, Brazil"
Quadra Do Salgueiro,"Rio de Janeiro, Brazil"
VLT Carioca,"Rio de Janeiro, Brazil"
C2Rio Tours & Travel,"Rio de Janeiro, Brazil"
Rotorfly Voo Livre,"Rio de Janeiro, Brazil"
Copacabana Palace Spa,"Rio de Janeiro, Brazil"
Fairmont Spa - Rio de Janeiro,"Rio de Janeiro, Brazil"
Lapa e Arte,"Rio de Janeiro, Brazil"
Helisight,"Rio de Janeiro, Brazil"
Soul Fun Transfer,"Rio de Janeiro, Brazil"
Bip Bip,"Rio de Janeiro, Brazil"
samba fit,"Rio de Janeiro, Brazil"
Samba do Trabalhador,"Rio de Janeiro, Brazil"
Bar Bukowski,"Rio de Janeiro, Brazil"
G.R.E.S. Estacao Primeira De Mangueira,"Rio de Janeiro, Brazil"
Rio Design Barra,"Rio de Janeiro, Brazil"
Gregtur Tourism Rio,"Rio de Janeiro, Brazil"
Casa De Arte & Cultura Julieta De Serpa,"Rio de Janeiro, Brazil"
Jazz In,"Rio de Janeiro, Brazil"
Escadaria Selarón,"Rio de Janeiro, Brazil"
Rio Maximo - Private & Premium Tours,"Rio de Janeiro, Brazil"
