Text,Location
Gardens by the Bay,"Singapore, Asia"
Singapore Botanic Gardens,"Singapore, Asia"
National Orchid Garden,"Singapore, Asia"
Cloud Forest,"Singapore, Asia"
Singapore Zoo,"Singapore, Asia"
Marina Bay,"Singapore, Asia"
Singapore Flyer,"Singapore, Asia"
Singapore Discovery Centre,"Singapore, Asia"
Sands Skypark Observation Deck,"Singapore, Asia"
Supertree Grove,"Singapore, Asia"
Chinatown,"Singapore, Asia"
Orchard Road,"Singapore, Asia"
Merlion Park,"Singapore, Asia"
Buddha Tooth Relic Temple and Museum,"Singapore, Asia"
Waterfront Promenade,"Singapore, Asia"
Flower Dome,"Singapore, Asia"
Singapore Mass Rapid Transit  (SMRT),"Singapore, Asia"
National Museum of Singapore,"Singapore, Asia"
Singapore Cable Car,"Singapore, Asia"
Jewel Changi Airport,"Singapore, Asia"
Clarke Quay,"Singapore, Asia"
MacRitchie Nature Trail,"Singapore, Asia"
Night Safari,"Singapore, Asia"
Changi Chapel and Museum,"Singapore, Asia"
Battlebox,"Singapore, Asia"
Asian Civilisations Museum,"Singapore, Asia"
The Shoppes at Marina Bay Sands,"Singapore, Asia"
Hell's Museum,"Singapore, Asia"
Maxwell Food Centre,"Singapore, Asia"
The Helix Bridge,"Singapore, Asia"
Tiger Brewery Tour,"Singapore, Asia"
ION Sky,"Singapore, Asia"
Singapore Art Museum,"Singapore, Asia"
Xcape Singapore,"Singapore, Asia"
The Pinnacle @ Duxton,"Singapore, Asia"
Singapore Cricket Club,"Singapore, Asia"
Holland Village,"Singapore, Asia"
East Inspirations,"Singapore, Asia"
Library @ Orchard,"Singapore, Asia"
Thian Hock Keng Temple,"Singapore, Asia"
National Stadium,"Singapore, Asia"
Parkview Square,"Singapore, Asia"
Pasir Ris Park,"Singapore, Asia"
Cavenagh Bridge,"Singapore, Asia"
Plaza Singapura,"Singapore, Asia"
Resorts World Sentosa Casino,"Singapore, Asia"
Labrador Nature Reserve,"Singapore, Asia"
Fountain of Wealth,"Singapore, Asia"
