Text,Location
Skeppsholmen,"Stockholm, Sweden"
Nordiska museet,"Stockholm, Sweden"
Fjallgatan,"Stockholm, Sweden"
Parliament Building (Riksdagshuset),"Stockholm, Sweden"
Kungstradgarden Park,"Stockholm, Sweden"
Strandvagen,"Stockholm, Sweden"
Thiel Gallery (Thielska Galleriet),"Stockholm, Sweden"
Stockholms Stadsbibliotek,"Stockholm, Sweden"
Lake Malaren,"Stockholm, Sweden"
Bodyflight Stockholm,"Stockholm, Sweden"
The Viking Museum,"Stockholm, Sweden"
Ostermalm,"Stockholm, Sweden"
The Museum of Mediterranean and Near Eastern Antiquities (Medelhavsmuseet),"Stockholm, Sweden"
Riddarholmen,"Stockholm, Sweden"
Waxholmsbolaget,"Stockholm, Sweden"
Tekniska Museet,"Stockholm, Sweden"
Järnpojken,"Stockholm, Sweden"
Fjaderholmarna,"Stockholm, Sweden"
Avicii Arena,"Stockholm, Sweden"
Uto,"Stockholm, Sweden"
Royal Dramatic Theater (Kungliga Dramatiska Teatern),"Stockholm, Sweden"
Stockholm Toy Museum,"Stockholm, Sweden"
Iglesia Alemana,"Stockholm, Sweden"
Nordiska Kompaniet  - Stockholm,"Stockholm, Sweden"
Stockholm City Museum,"Stockholm, Sweden"
Globen Skyview,"Stockholm, Sweden"
M/S Emelie,"Stockholm, Sweden"
Kulturhuset,"Stockholm, Sweden"
Skinnarviksberget,"Stockholm, Sweden"
Arlanda Express,"Stockholm, Sweden"
Norrmalm,"Stockholm, Sweden"
Sparvagsmuseet,"Stockholm, Sweden"
Cirkus Arena,"Stockholm, Sweden"
Oscarsteatern,"Stockholm, Sweden"
Skansen - Akvariet,"Stockholm, Sweden"
Old Haymarket,"Stockholm, Sweden"
Katarina Hissen,"Stockholm, Sweden"
S:ta Clara kyrka,"Stockholm, Sweden"
Langholmen,"Stockholm, Sweden"
Rosendal Palace,"Stockholm, Sweden"
The Stockholm Concert Hall,"Stockholm, Sweden"
Museum of Far Eastern Antiquities,"Stockholm, Sweden"
Riddarholmen,"Stockholm, Sweden"
Escape Stories,"Stockholm, Sweden"
Judiska Församlingen I Stockholm,"Stockholm, Sweden"
Stockholm stadion,"Stockholm, Sweden"
Vinterviken,"Stockholm, Sweden"
Grona Lunds Tivoli,"Stockholm, Sweden"
Riddarhuset,"Stockholm, Sweden"
Kungliga Biblioteket,"Stockholm, Sweden"
Vrak - Museum Of Wrecks,"Stockholm, Sweden"
The Royal Stable,"Stockholm, Sweden"
Maritime Museum,"Stockholm, Sweden"
Royal Coin Cabinet,"Stockholm, Sweden"
Swedish Museum of Performing Arts,"Stockholm, Sweden"
Marten Trotzigs grand,"Stockholm, Sweden"
Margaret Krook Statue,"Stockholm, Sweden"
Humlegården,"Stockholm, Sweden"
St Johannes Kyrka,"Stockholm, Sweden"
Stureplan,"Stockholm, Sweden"
