Text,Location
The Matterhorn,"Swiss Alps, Switzerland"
Gornergrat,"Swiss Alps, Switzerland"
Lake Lugano,"Swiss Alps, Switzerland"
Matterhorn Glacier Paradise,"Swiss Alps, Switzerland"
Monte San Salvatore,"Swiss Alps, Switzerland"
Valle Verzasca,"Swiss Alps, Switzerland"
Muottas Muragl,"Swiss Alps, Switzerland"
Lake St. Moritz,"Swiss Alps, Switzerland"
Swiss Vapeur Parc,"Swiss Alps, Switzerland"
Parco Ciani,"Swiss Alps, Switzerland"
Furka Pass,"Swiss Alps, Switzerland"
Falconeria Locarno,"Swiss Alps, Switzerland"
Monte Bre,"Swiss Alps, Switzerland"
Piz Nair,"Swiss Alps, Switzerland"
Diavolezza,"Swiss Alps, Switzerland"
Castelgrande,"Swiss Alps, Switzerland"
Fondation Pierre Gianadda,"Swiss Alps, Switzerland"
Morteratsch Glacier,"Swiss Alps, Switzerland"
Jungfraujoch Sphinx Observatory,"Swiss Alps, Switzerland"
Church of S. Maria degli Angioli,"Swiss Alps, Switzerland"
Jungfraujoch - Top of Europe,"Swiss Alps, Switzerland"
Matterhorn Museum - Zermatlantis,"Swiss Alps, Switzerland"
Val Roseg,"Swiss Alps, Switzerland"
Old Town Chur,"Swiss Alps, Switzerland"
Great St. Bernard Pass,"Swiss Alps, Switzerland"
Engadine,"Swiss Alps, Switzerland"
Castelli di Bellinzona,"Swiss Alps, Switzerland"
Monte Generoso,"Swiss Alps, Switzerland"
Hinterdorfstrasse,"Swiss Alps, Switzerland"
Fox Town Factory Stores,"Swiss Alps, Switzerland"
Château de Tourbillon,"Swiss Alps, Switzerland"
Piazza della Riforma,"Swiss Alps, Switzerland"
Ice Palace - Jungfraujoch,"Swiss Alps, Switzerland"
Simplonpass,"Swiss Alps, Switzerland"
VerticAlp Emosson,"Swiss Alps, Switzerland"
Verzasca Dam,"Swiss Alps, Switzerland"
Caumasee,"Swiss Alps, Switzerland"
Lido Locarno,"Swiss Alps, Switzerland"
Monte Tamaro,"Swiss Alps, Switzerland"
Corvatsch 3303,"Swiss Alps, Switzerland"
Lac d'Émosson,"Swiss Alps, Switzerland"
Parsenn Skigebiet,"Swiss Alps, Switzerland"
Aussichtsplattform Il Spir Conn,"Swiss Alps, Switzerland"
Saas-Fee Ski Resort,"Swiss Alps, Switzerland"
Gorner Gorge,"Swiss Alps, Switzerland"
The Olive Grove Trail,"Swiss Alps, Switzerland"
Lungolago Di Ascona,"Swiss Alps, Switzerland"
Valère Basilica,"Swiss Alps, Switzerland"
Arosa Ski Resort,"Swiss Alps, Switzerland"
Swissminiatur,"Swiss Alps, Switzerland"
Mountaineers' Cemetery,"Swiss Alps, Switzerland"
Castello di Montebello,"Swiss Alps, Switzerland"
Rothorn,"Swiss Alps, Switzerland"
Piazza Grande,"Swiss Alps, Switzerland"
Riffelsee,"Swiss Alps, Switzerland"
Eichhörnliweg,"Swiss Alps, Switzerland"
Summit Ski & Snowboard School,"Swiss Alps, Switzerland"
Teufelsbrücke,"Swiss Alps, Switzerland"
Lac Bleu,"Swiss Alps, Switzerland"
Sacromonte e Santuario Madonna del Sasso,"Swiss Alps, Switzerland"
Grande Dixence,"Swiss Alps, Switzerland"
Aquaparc,"Swiss Alps, Switzerland"
LAC Lugano Arte e Cultura,"Swiss Alps, Switzerland"
Lago di Poschiavo,"Swiss Alps, Switzerland"
Landwasser Viaduct,"Swiss Alps, Switzerland"
Val Fex,"Swiss Alps, Switzerland"
Le Torrent-Neuf ou Bisse de Savièse,"Swiss Alps, Switzerland"
The Cavaglia Glacier Garden,"Swiss Alps, Switzerland"
Sasso San Gottardo,"Swiss Alps, Switzerland"
Breithorn,"Swiss Alps, Switzerland"
Sunnegga,"Swiss Alps, Switzerland"
Aletsch Arena,"Swiss Alps, Switzerland"
Lido di Lugano,"Swiss Alps, Switzerland"
Lac de Tanay,"Swiss Alps, Switzerland"
St Gotthard Pass,"Swiss Alps, Switzerland"
"Tibetan bridge ""Carasc""","Swiss Alps, Switzerland"
Múzeum Segantini,"Swiss Alps, Switzerland"
Grimsel Pass,"Swiss Alps, Switzerland"
Brissago Islands,"Swiss Alps, Switzerland"
Splugen Pass,"Swiss Alps, Switzerland"
Barryland - Musée et Chiens du St-Bernard,"Swiss Alps, Switzerland"
Alp-Schaukaserei Morteratsch,"Swiss Alps, Switzerland"
Parco San Grato,"Swiss Alps, Switzerland"
