Text,Location
Sydney Opera House,"Sydney, Austrailia"
Sydney Harbour,"Sydney, Austrailia"
Sydney Ferries,"Sydney, Austrailia"
Sydney Harbour Bridge,"Sydney, Austrailia"
Royal Botanic Garden Sydney,"Sydney, Austrailia"
Manly Beach,"Sydney, Austrailia"
Darling Harbour,"Sydney, Austrailia"
Queen Victoria Building (QVB),"Sydney, Austrailia"
The Rocks,"Sydney, Austrailia"
The Opera House to the Botanic Gardens Walk,"Sydney, Austrailia"
Art Gallery of New South Wales,"Sydney, Austrailia"
Bondi Beach,"Sydney, Austrailia"
Circular Quay,"Sydney, Austrailia"
Chinese Garden of Friendship,"Sydney, Austrailia"
Sydney Tower Eye Observation Deck,"Sydney, Austrailia"
Watsons Bay,"Sydney, Austrailia"
Australian National Maritime Museum,"Sydney, Austrailia"
Hyde Park Barracks,"Sydney, Austrailia"
Manly Scenic Walkway,"Sydney, Austrailia"
St. Mary's Cathedral,"Sydney, Austrailia"
Pylon Lookout at Sydney Harbour Bridge,"Sydney, Austrailia"
Opera Australia,"Sydney, Austrailia"
Sydney Observatory,"Sydney, Austrailia"
Coogee Beach,"Sydney, Austrailia"
Capitol Theatre,"Sydney, Austrailia"
ATTY Gallery,"Sydney, Austrailia"
Hyde Park,"Sydney, Austrailia"
Sea Life Sydney Aquarium,"Sydney, Austrailia"
Powerhouse Museum,"Sydney, Austrailia"
WILD LIFE Sydney Zoo,"Sydney, Austrailia"
The Rocks Markets,"Sydney, Austrailia"
Anzac Memorial,"Sydney, Austrailia"
Sydney Jewish Museum,"Sydney, Austrailia"
Mrs Macquarie's Chair,"Sydney, Austrailia"
Centennial Park,"Sydney, Austrailia"
State Library of New South Wales,"Sydney, Austrailia"
The Rocks Discovery Museum,"Sydney, Austrailia"
State Theatre,"Sydney, Austrailia"
Madame Tussauds Sydney,"Sydney, Austrailia"
Cremorne Point to Mosman Bay Walk,"Sydney, Austrailia"
Vivid Sydney,"Sydney, Austrailia"
Australian Museum,"Sydney, Austrailia"
BridgeClimb Sydney,"Sydney, Austrailia"
Paddy's Market,"Sydney, Austrailia"
Gap Park,"Sydney, Austrailia"
James Craig Tall Ship,"Sydney, Austrailia"
Susannah Place,"Sydney, Austrailia"
Museum of Contemporary Art,"Sydney, Austrailia"
White Rabbit Gallery,"Sydney, Austrailia"
Sydney Cricket Ground,"Sydney, Austrailia"
Barangaroo Foreshore Walk,"Sydney, Austrailia"
Sydney Town Hall,"Sydney, Austrailia"
Milsons Point,"Sydney, Austrailia"
Spit Bridge,"Sydney, Austrailia"
Sydney Lyric Theatre,"Sydney, Austrailia"
Observatory Hill,"Sydney, Austrailia"
Westfield Sydney,"Sydney, Austrailia"
Sydney Harbour Circle Walk,"Sydney, Austrailia"
Calmsley Hill City Farm,"Sydney, Austrailia"
Sydney Fish Market,"Sydney, Austrailia"
I Have a Dream Mural,"Sydney, Austrailia"
VR Kingdom,"Sydney, Austrailia"
Anderson's Tours,"Sydney, Austrailia"
Captain Cook Statue,"Sydney, Austrailia"
El Alamein Memorial Fountain,"Sydney, Austrailia"
Robertson Park,"Sydney, Austrailia"
UltiMate Executive Transfers,"Sydney, Austrailia"
Darling Quarter,"Sydney, Austrailia"
Indian Pacific,"Sydney, Austrailia"
V.I.P. Water Taxis,"Sydney, Austrailia"
The Gentleman Magician's Magical Soirees,"Sydney, Austrailia"
LuxCar,"Sydney, Austrailia"
BridgeClimb,"Sydney, Austrailia"
Expedition Sydney - Escape Rooms,"Sydney, Austrailia"
SFC 737 Flight Simulator,"Sydney, Austrailia"
Pioneers Memorial Park,"Sydney, Austrailia"
PaniQ Room Sydney,"Sydney, Austrailia"
Fantasea Yellow Water Taxis,"Sydney, Austrailia"
I'm Free Walking Tours,"Sydney, Austrailia"
Sydney Light Rail,"Sydney, Austrailia"
Sydney Seafood School,"Sydney, Austrailia"
City Heroes Pool & Billiards Townhall,"Sydney, Austrailia"
Aroca Thai Massage,"Sydney, Austrailia"
Palace Norton Street,"Sydney, Austrailia"
The Strand Arcade,"Sydney, Austrailia"
Entermission Sydney - Virtual Reality Escape Rooms,"Sydney, Austrailia"
Bamboozle Room,"Sydney, Austrailia"
Westpac Openair Cinema,"Sydney, Austrailia"
Escape Hunt Sydney,"Sydney, Austrailia"
The Rocks Walking Tours,"Sydney, Austrailia"
IMAX Theatre Sydney,"Sydney, Austrailia"
The Aperture Club,"Sydney, Austrailia"
DUX Collection Sydney,"Sydney, Austrailia"
Grand Royal Thai Massage,"Sydney, Austrailia"
Marble Bar,"Sydney, Austrailia"
Travellers Autobarn,"Sydney, Austrailia"
"The House Lounge by Aspire, Sydney","Sydney, Austrailia"
Marquee Sydney,"Sydney, Austrailia"
Taste Tours,"Sydney, Austrailia"
Thunder Jet Boat Sydney,"Sydney, Austrailia"
The Baxter Inn,"Sydney, Austrailia"
Hunting Hue,"Sydney, Austrailia"
Golden Touch,"Sydney, Austrailia"
Chang Sabai Thai Massage & Spa,"Sydney, Austrailia"
The Camelot Lounge,"Sydney, Austrailia"
Altmann + Cherny - Australian Opals,"Sydney, Austrailia"
The Intersection Paddington,"Sydney, Austrailia"
Diamond Tours,"Sydney, Austrailia"
