Text,Location
Shinjuku Gyoen National Garden,"Tokyo, Japan"
Senso-ji Temple,"Tokyo, Japan"
Meiji Jingu Shrine,"Tokyo, Japan"
Asakusa,"Tokyo, Japan"
Ueno Park,"Tokyo, Japan"
Tokyo Tower,"Tokyo, Japan"
Tokyo Skytree,"Tokyo, Japan"
Owl cafe tokyo Akiba Fukurou,"Tokyo, Japan"
Shibuya Crossing,"Tokyo, Japan"
Ginza,"Tokyo, Japan"
Tokyo Metropolitan Government Building Observation Decks,"Tokyo, Japan"
Tokyo Central Railway Station,"Tokyo, Japan"
Akihabara,"Tokyo, Japan"
teamLab Planets TOKYO,"Tokyo, Japan"
Odaiba District,"Tokyo, Japan"
Tokyo National Museum,"Tokyo, Japan"
Edo-Tokyo Museum,"Tokyo, Japan"
Yoyogi Park,"Tokyo, Japan"
Nezu Museum,"Tokyo, Japan"
Hama Rikyu Gardens,"Tokyo, Japan"
Takeshita Street,"Tokyo, Japan"
Tokyo City View Observation Deck (Roppongihills),"Tokyo, Japan"
Hachiko,"Tokyo, Japan"
Shinjuku Golden Gai,"Tokyo, Japan"
Ryogoku Kokugikan,"Tokyo, Japan"
Ameyoko Shopping Street,"Tokyo, Japan"
Chidorigafuchi,"Tokyo, Japan"
Zojo-ji Temple,"Tokyo, Japan"
National Museum of Nature and Science,"Tokyo, Japan"
The East Gardens of the Imperial Palace (Edo Castle Ruin),"Tokyo, Japan"
Kitte Marunouchi,"Tokyo, Japan"
Sumida Aquarium,"Tokyo, Japan"
Todoroki Valley,"Tokyo, Japan"
Subway Museum,"Tokyo, Japan"
Asahi Beer Headquarters,"Tokyo, Japan"
LaQua,"Tokyo, Japan"
Sumida River,"Tokyo, Japan"
Kyu-Furukawa Gardens,"Tokyo, Japan"
Aqua City Odaiba,"Tokyo, Japan"
Artizon Museum,"Tokyo, Japan"
"St. Mary's Cathedral, Tokyo","Tokyo, Japan"
Museum of Yebisu Beer,"Tokyo, Japan"
Roppongi District,"Tokyo, Japan"
Tokyo Daijingu Shrine,"Tokyo, Japan"
Sugamo Jizo-dori Shopping Street,"Tokyo, Japan"
National Diet Building,"Tokyo, Japan"
Atago Shrine,"Tokyo, Japan"
Shinagawa Aquarium,"Tokyo, Japan"
Toyokawa Inari Tokyo Betsuin,"Tokyo, Japan"
Fuji TV Odaiba,"Tokyo, Japan"
Jonanjima SeasidePark,"Tokyo, Japan"
Tokyo Big Sight,"Tokyo, Japan"
Kokyo Gaien National Garden,"Tokyo, Japan"
Unicorn Gundam Statue,"Tokyo, Japan"
Museum of Contemporary Art Tokyo,"Tokyo, Japan"
Yushima Tenmangu,"Tokyo, Japan"
Meiji Shrine Imperial Garden,"Tokyo, Japan"
Fire Museum,"Tokyo, Japan"
Kameido Tenjinsha,"Tokyo, Japan"
Hozomon,"Tokyo, Japan"
"ASAKURA Museum of Sculpture, Taito","Tokyo, Japan"
Tsukishima Monjya Street,"Tokyo, Japan"
Former Shiba Rikyu Gardens,"Tokyo, Japan"
Nippon Budokan,"Tokyo, Japan"
Tokyo International Airport (Haneda) Terminal 1 Observation Deck,"Tokyo, Japan"
Kinuta Park,"Tokyo, Japan"
Shiba Park,"Tokyo, Japan"
Fukagawa Fudodo,"Tokyo, Japan"
Ikegami Hommon-ji Temple,"Tokyo, Japan"
Nihonbashi Bridge,"Tokyo, Japan"
Toei Streetcar(Toden) Arakawa Line(Tokyo Sakura Tram),"Tokyo, Japan"
Edogawa Natural Zoo,"Tokyo, Japan"
Mizumoto Park,"Tokyo, Japan"
Sumida Park,"Tokyo, Japan"
Statue of Liberty,"Tokyo, Japan"
Shinobazu Pond,"Tokyo, Japan"
