Text,Location
Toronto Harbour,"Toronto, Canada"
Black Creek Pioneer Village,"Toronto, Canada"
Aga Khan Museum,"Toronto, Canada"
Allan Gardens Conservatory,"Toronto, Canada"
Toronto Symphony Orchestra,"Toronto, Canada"
Toronto City Hall,"Toronto, Canada"
Spadina Museum,"Toronto, Canada"
The Toronto Magic Company,"Toronto, Canada"
Yonge Street,"Toronto, Canada"
Yorkdale Shopping Centre,"Toronto, Canada"
The Beach Village,"Toronto, Canada"
Ontario Science Centre,"Toronto, Canada"
Four Seasons Centre for the Performing Arts,"Toronto, Canada"
Old City Hall,"Toronto, Canada"
The Path,"Toronto, Canada"
Harbourfront Centre,"Toronto, Canada"
Gardiner Museum,"Toronto, Canada"
Graffiti Alley,"Toronto, Canada"
Yorkville Village,"Toronto, Canada"
Evergreen Brick Works,"Toronto, Canada"
Royal Conservatory of Music,"Toronto, Canada"
UP Express,"Toronto, Canada"
Centreville Amusement Park,"Toronto, Canada"
Norma Reed,"Toronto, Canada"
Massey Hall,"Toronto, Canada"
Chinatown,"Toronto, Canada"
Roy Thomson Hall,"Toronto, Canada"
Budweiser Stage,"Toronto, Canada"
Bloor West Village,"Toronto, Canada"
St James Anglican Cathedral,"Toronto, Canada"
Toronto Music Garden,"Toronto, Canada"
Cabbagetown,"Toronto, Canada"
Toronto Union,"Toronto, Canada"
"Mount Pleasant Cemetery, Cremation and Funeral Centres","Toronto, Canada"
Gooderham (Flatiron) Building,"Toronto, Canada"
Hanlan's Point Beach,"Toronto, Canada"
Greektown on the Danforth,"Toronto, Canada"
Berczy Park,"Toronto, Canada"
Ontario Legislative Building,"Toronto, Canada"
West Queen West,"Toronto, Canada"
BAPS Shri Swaminarayan Mandir,"Toronto, Canada"
Metro Toronto Convention Centre,"Toronto, Canada"
Bluffers Park,"Toronto, Canada"
Tommy Thompson Park,"Toronto, Canada"
CAA Theatre,"Toronto, Canada"
Humber Bay Park,"Toronto, Canada"
St Michael's Cathedral Basilica,"Toronto, Canada"
Queen's Park,"Toronto, Canada"
Majestic Angel Spa,"Toronto, Canada"
Riverdale Farm,"Toronto, Canada"
The National Ballet of Canada,"Toronto, Canada"
